ref,Permission Type,Development Description,Scheme Name,Site Name,Primary Street Name,Post Code,EAST DULWICH,Permission Date,Date construction completed,Proposed Total Residential Units,Proposed Total Affordable Units,CashinLieuAffordableHousing
09-AP-0519,Details/Reserve Matters,"Reserved Matters pursuant to Outline planning permission 04-AP-0102 dated 30/03/2005 being: External appearance, details of landscaping and other treatments including layout of any part of the site not covered by buildings, as well as the detailed design of the buildings including the internal layouts and access arrangements for Phases 3 and 4 which involve the erection of 7 buildings ranging in height from 3 to 10 storeys comprising 319 flats and a 1,395sqm supermarket (Use Class A1) and associated cafe (Use Class A3), 314sqm of other commercial space (Use Class A1, A2, A3, B1, and D2), 109 basement car parking spaces, and associated open space.",Bermondsey Spa,"Site F,S And U (Phase 3 And 4) Bermondsey Spa",Jamaica Road,SE16 4TB,RIVERSIDE,09/06/2009,08/08/2014,319,232,
04-AP-0190,Full,"Revision: additional 14 flats for mixed use development in Building 'B' (remove 35 market units, add 49 key worker units).",,Tabard Square Bounded By,Long Lane,SE1 4AU,CHAUCER,04/11/2004,01/11/2006,573,212,
05-AP-1949,Outline,"Outline application for demolition of  light industrial units for 195 flats and assoc parking in two blocks separated by an avenue linking Peckham Grove and Blake's Road running through the site. Block A: a part four to six storey building (ground + 5 storeys at highest point) between Peckham Grove and Blakes Road; Block B: part four to eight storey building (ground + seven storeys at highest point) b/b Blake's Road, Diamond Street and Southampton Way.",,Samuel Jones Industrial Estate,Peckham Grove,SE15 6ES,PECKHAM,16/01/2007,31/03/2011,194,194,
07-AP-0760,Full,"Erection of 1 building up to 44 storeys (145.5 metres AOD) and terrace of up to 7 storeys in height for 470 flats (Class C3), theatre (Class SG) and cafe (Class A3) uses and pavilion building for retail/marketing suite (A1/ Sui Generis) with public open space, underground parking for 30 cars and servicing .",,"Site Of London Park Hotel,  80",Newington Butts,SE11 4QU,CATHEDRALS,01/04/2008,01/08/2018,457,179,
09-AP-1870,Full,"Erection of a series of buildings comprising a 26 storey tower, with ground floor mezzanine (maximum height 92.95m AOD), and 9 individual buildings ranging from 4 to 8 storeys in height to provide 668 residential units, 958sqm of retail (Class A1, A2 and A3), and 268sqm of community use (Class D1), creation of a new open space and construction of new roads, pedestrian and cycle routes and new access to the highway, together with associated works including the provision of public cycle facility, basement car parking for 166 cars and cycle parking, servicing, landscaping and plant areas.",,"Site A, Canada Water",Surrey Quays Road,SE16,ROTHERHITHE,17/02/2010,03/04/2014,668,165,0
06-AP-0323,Full,"1) amendments during construction to Phase 1 (Site E east) scheme, approved under 04-AP-0102 (outline) & 04-AP-2190 (reserved matters) to include removing basement car parking, provide undercroft parking; omit car parking provision for phase 2 scheme; provide communal raised courtyards above undercroft parking at first floor; provide  2 on-street car parking spaces in phase 1 instead of phase 2;  remove 3 units at ground floor, increased number of units from 165 to 167, proposed changes to approved mix to provide 62 x 1 bed units, 65 x 2 bed units, 32 x 3 bed units, 4 x 4 bed units and 4 x 5 bed units.",Bermondsey Spa,"Part Phase I, Sites E & H, Bermondsey Spa",Old Jamaica Road,SE16,RIVERSIDE,21/09/2006,30/11/2009,167,136,
07-CO-0046,Outline,"Outline planning application for the demolition of 1-41 Bradenham, 1-12 Red Lion Close, the Aylesbury Day Centre, the elevated pedestrian link across Bradenham Close and the single storey garages on Red Lion Close, and the erection of a series of buildings ranging in height from 1 (c.4.5m) to 10 storeys (29.9m) in height comprising around 260 dwellings(see Comments below), 404m² of retail floorspace, a new day centre and provision of public open space and public realm improvement work.",Aylesbury Estate,"Aylesbury Estate. Phase 1a, 1-41",Bradenham,SE17 2ES,FARADAY,11/06/2007,03/03/2014,260,134,
03-AP-1228,Full,"Construction of 4 blocks A1/A2/B1 ground floor, 56x1-bed/58x2-bed flats/8x3-bed maisonettes.",,249-267,Rye Lane,SE15 4UA,THE LANE,30/03/2005,29/02/2008,122,122,
06-AP-0374,Full,"Redevelopment of Site E (West) for 114 new dwellings and new community health centre at ground and first floor level, in an eight to ten storey building plus car parking, landscaping and infrastructure works.",Bermondsey Spa,"Site E [West], Phase Ii Bermondsey Spa",Old Jamaica Road,SE16,RIVERSIDE,21/09/2006,31/03/2010,114,114,
04-AP-0772,Full,"Refurbish 142-148 Queen's Road, demolish office/ warehouse buildings for 162 flats in 3/4/5 storey blocks plus new 3/4/5 storey office buildings.",,134-148,Queen's Road,SE15,NUNHEAD,29/11/2004,30/09/2007,158,105,
