ref,Site Address,Proposal,Total units on devt,Ward,Parish,Deed Ref,Deed Type,Date Signed,RSL,Tenure,No of units for this mix type,% AH of total units for permission,Mix type
00-AP-0828,"St Saviours House, 21 Bermondsey Wall West & Site Adjacent on George Row, SE16",Construction of part three and part four storey building to provide market and 31 car parking spaces on ground floor and 34 flats above [Revised application: the height of the build building has increased by 75cm & the number of flats by two],34.00,The Lane Ward (P&N),Peckham and Nunhead,Principal Deed,S106 Agreement,28/08/2001,Hexagon Housing Association,Not known,9,26.47,Not known
00-AP-1199,"48-52 PECKHAM GROVE, LONDON, SE15 6EA",Conversion and extension of existing industrial building to provide 86 self-contained flats; construction of 3 storey office building (B1) and 3 storey residential building with associated parking and planting.  ( original LBS ref 0001199 ),86.00,Brunswick Park Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,05/10/2001,Family Housing Association,Not known,26,30.23,Not known
00-AP-1199,"48-52 PECKHAM GROVE, LONDON, SE15 6EA",Conversion and extension of existing industrial building to provide 86 self-contained flats; construction of 3 storey office building (B1) and 3 storey residential building with associated parking and planting.  ( original LBS ref 0001199 ),86.00,Brunswick Park Ward (Camberwell),Camberwell,Variation,Variation,07/02/2002,Family Housing Association,Not known,26,30.23,Not known
01-AP-0714,201-205 LONG LANE LONDON SE1,"Demolition of existing building and redevelopment of site by construction of buildings comprising of 212 flats, 22 live/work and B1 use with associated car parking (Revised application).",234.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,17/12/2002,London and Quadrant Housing Trust,Shared Own,19,8.12,1 Bed
01-AP-0714,201-205 LONG LANE LONDON SE1,"Demolition of existing building and redevelopment of site by construction of buildings comprising of 212 flats, 22 live/work and B1 use with associated car parking (Revised application).",234.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,17/12/2002,London and Quadrant Housing Trust,Social Rent,7,2.99,1 Bed
01-AP-0714,201-205 LONG LANE LONDON SE1,"Demolition of existing building and redevelopment of site by construction of buildings comprising of 212 flats, 22 live/work and B1 use with associated car parking (Revised application).",234.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,17/12/2002,London and Quadrant Housing Trust,Shared Own,8,3.42,2 Bed
01-AP-0714,201-205 LONG LANE LONDON SE1,"Demolition of existing building and redevelopment of site by construction of buildings comprising of 212 flats, 22 live/work and B1 use with associated car parking (Revised application).",234.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,17/12/2002,London and Quadrant Housing Trust,Social Rent,14,5.98,2 Bed
01-AP-0714,201-205 LONG LANE LONDON SE1,"Demolition of existing building and redevelopment of site by construction of buildings comprising of 212 flats, 22 live/work and B1 use with associated car parking (Revised application).",234.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,17/12/2002,London and Quadrant Housing Trust,Shared Own,3,1.28,3 Bed
01-AP-0714,201-205 LONG LANE LONDON SE1,"Demolition of existing building and redevelopment of site by construction of buildings comprising of 212 flats, 22 live/work and B1 use with associated car parking (Revised application).",234.00,Grange Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,17/12/2002,London and Quadrant Housing Trust,Social Rent,4,1.71,3 Bed
01-AP-1224,"SITE NORTH SIDE OF GLOBE STREET BOUNDED BY COLE STREET & 15-24 GREAT DOVER STREET, LONDON, SE1 4XS","Redevelopment of site to provide 43x1 bed, 88x2 bed, 3x3 bed flats, 651 sqm of office space in three buildings part 4,5,6 & 7 storeys.  Plus associated amenity space and basement parking for 104 cars.   (Old file ref; 0101224)",134.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,02/08/2002,Peabody Trust,Aff Rent,9,6.72,1 Bed Flat
01-AP-1224,"SITE NORTH SIDE OF GLOBE STREET BOUNDED BY COLE STREET & 15-24 GREAT DOVER STREET, LONDON, SE1 4XS","Redevelopment of site to provide 43x1 bed, 88x2 bed, 3x3 bed flats, 651 sqm of office space in three buildings part 4,5,6 & 7 storeys.  Plus associated amenity space and basement parking for 104 cars.   (Old file ref; 0101224)",134.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,02/08/2002,Peabody Trust,Aff Rent,17,12.69,2 Bed Flat
01-AP-1224,"SITE NORTH SIDE OF GLOBE STREET BOUNDED BY COLE STREET & 15-24 GREAT DOVER STREET, LONDON, SE1 4XS","Redevelopment of site to provide 43x1 bed, 88x2 bed, 3x3 bed flats, 651 sqm of office space in three buildings part 4,5,6 & 7 storeys.  Plus associated amenity space and basement parking for 104 cars.   (Old file ref; 0101224)",134.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,02/08/2002,Peabody Trust,Aff Rent,4,2.99,3 Bed Flat
01-AP-1542,TRINITY WHARF 305-309  ROTHERHITHE STREET SE16,Change of use from B1 office accomodation to (36) 2 x bed & 3 x bed flats with associated car parking (revised application).,36.00,Surrey Docks Ward (B&R),Bermondsey and Rotherhithe,Principal Deed,S106 Agreement,24/05/2002,Tower Housing Association,Shared Own,9,25.00,2 Bed Flat
01-AP-1655,"163 Peckham Rye, SE15","Demolition of existing buildings and erection of two blocks of flats, one of three to eight storeys comprising 41 flats and the other of part four / part five storeys comprising 18 flats, 15 of which are for affordable housing, and the remaining 3 for private sale; alterations to access, underground parking and outdoor amenity space.",59.00,Peckham Rye Ward (P&N),Peckham and Nunhead,Principal Deed,S106 Agreement,21/03/2003,London and Quadrant Housing Trust,Not known,14,23.73,Not known
02-AP-0168,"Land bounded by Long Lane, Tabard Street, Sterry Street and Southall Place, SE1","Revised version of redevelopment to provide 4 new buildings:
Building A, located on the north side of site: 8 storey building with Class A1,A2,A3,B1,D2 (shop/office/catering/business/assembly) uses at ground floor level with 89 residential units above.

Building B, located on the south side of the site: 4-7 storey building with Class A1, A2, A3, B1,D2 uses on the ground floor with 159 residential units.
 
Building C,located on the north west side of the site: 8-21 storey building with supermarket (Class A1) on part of and class A1,A2,A3,B1,D2 uses on remainder of the ground floor, with 306 residential units above. 

Two storey pavilion building located in centre of public square to be used for shop or catering purposes (Class A1 or A3).

Construction of basement with 249 underground car parking spaces, motorbike and cycle parking, refuse storage and plant equipment. 

553 Dwellings in total",553.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,13/11/2003,The Horizon Housing Group,Shared Own,11,1.99,1 Bed
02-AP-0168,"Land bounded by Long Lane, Tabard Street, Sterry Street and Southall Place, SE1","Revised version of redevelopment to provide 4 new buildings:
Building A, located on the north side of site: 8 storey building with Class A1,A2,A3,B1,D2 (shop/office/catering/business/assembly) uses at ground floor level with 89 residential units above.

Building B, located on the south side of the site: 4-7 storey building with Class A1, A2, A3, B1,D2 uses on the ground floor with 159 residential units.
 
Building C,located on the north west side of the site: 8-21 storey building with supermarket (Class A1) on part of and class A1,A2,A3,B1,D2 uses on remainder of the ground floor, with 306 residential units above. 

Two storey pavilion building located in centre of public square to be used for shop or catering purposes (Class A1 or A3).

Construction of basement with 249 underground car parking spaces, motorbike and cycle parking, refuse storage and plant equipment. 

553 Dwellings in total",553.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,13/11/2003,The Horizon Housing Group,Aff Rent,20,3.62,1 Bed Flat
02-AP-0168,"Land bounded by Long Lane, Tabard Street, Sterry Street and Southall Place, SE1","Revised version of redevelopment to provide 4 new buildings:
Building A, located on the north side of site: 8 storey building with Class A1,A2,A3,B1,D2 (shop/office/catering/business/assembly) uses at ground floor level with 89 residential units above.

Building B, located on the south side of the site: 4-7 storey building with Class A1, A2, A3, B1,D2 uses on the ground floor with 159 residential units.
 
Building C,located on the north west side of the site: 8-21 storey building with supermarket (Class A1) on part of and class A1,A2,A3,B1,D2 uses on remainder of the ground floor, with 306 residential units above. 

Two storey pavilion building located in centre of public square to be used for shop or catering purposes (Class A1 or A3).

Construction of basement with 249 underground car parking spaces, motorbike and cycle parking, refuse storage and plant equipment. 

553 Dwellings in total",553.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,13/11/2003,The Horizon Housing Group,Aff Rent,49,8.86,2 Bed Flat
02-AP-0168,"Land bounded by Long Lane, Tabard Street, Sterry Street and Southall Place, SE1","Revised version of redevelopment to provide 4 new buildings:
Building A, located on the north side of site: 8 storey building with Class A1,A2,A3,B1,D2 (shop/office/catering/business/assembly) uses at ground floor level with 89 residential units above.

Building B, located on the south side of the site: 4-7 storey building with Class A1, A2, A3, B1,D2 uses on the ground floor with 159 residential units.
 
Building C,located on the north west side of the site: 8-21 storey building with supermarket (Class A1) on part of and class A1,A2,A3,B1,D2 uses on remainder of the ground floor, with 306 residential units above. 

Two storey pavilion building located in centre of public square to be used for shop or catering purposes (Class A1 or A3).

Construction of basement with 249 underground car parking spaces, motorbike and cycle parking, refuse storage and plant equipment. 

553 Dwellings in total",553.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,13/11/2003,The Horizon Housing Group,Aff Rent,10,1.81,3 Bed Flat
02-AP-0168,"Land bounded by Long Lane, Tabard Street, Sterry Street and Southall Place, SE1","Revised version of redevelopment to provide 4 new buildings:
Building A, located on the north side of site: 8 storey building with Class A1,A2,A3,B1,D2 (shop/office/catering/business/assembly) uses at ground floor level with 89 residential units above.

Building B, located on the south side of the site: 4-7 storey building with Class A1, A2, A3, B1,D2 uses on the ground floor with 159 residential units.
 
Building C,located on the north west side of the site: 8-21 storey building with supermarket (Class A1) on part of and class A1,A2,A3,B1,D2 uses on remainder of the ground floor, with 306 residential units above. 

Two storey pavilion building located in centre of public square to be used for shop or catering purposes (Class A1 or A3).

Construction of basement with 249 underground car parking spaces, motorbike and cycle parking, refuse storage and plant equipment. 

553 Dwellings in total",553.00,Chaucer Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,13/11/2003,The Horizon Housing Group,Shared Own,40,7.23,Studio
02-AP-0851,"137 GREAT SUFFOLK STREET, LONDON, SE1 1PP",Demolition of existing building and the erection of a six storey building  plus basement comprising 5 workshop/office units (class B1) and 23 flats with 6 off street parking spaces,23.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,20/05/2004,Tower Homes Ltd,Shared Own,5,21.74,Not known
02-AP-1990,"57-59 GREAT SUFFOLK STREET, LONDON, SE1 0BS","Demolition of existing building and construction of a ground, part 5, part 6 storey building, with the use of part of ground, 1st to 6th floor for commercial/office use and the use of part of 2nd to 6th floor for 26 self-contained flats.",26.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,11/09/2003,Southern Housing Group / Southern Housing Home Ownership Limited,Not known,6,23.08,2 Bed Flat
02-AP-1990,"57-59 GREAT SUFFOLK STREET, LONDON, SE1 0BS","Demolition of existing building and construction of a ground, part 5, part 6 storey building, with the use of part of ground, 1st to 6th floor for commercial/office use and the use of part of 2nd to 6th floor for 26 self-contained flats.",26.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Variation,Variation,16/03/2006,Southern Housing Group / Southern Housing Home Ownership Limited,Not known,6,23.08,2 Bed Flat
02-AP-2008,"191-199 SOUTHAMPTON WAY, LONDON, SE5 7EJ","Demolition of existing building. Erection of part 3, part  6 and part 7 storey building retail and office units on ground and part 1st floor with 33 flats above with parking facilities at rear-access from Peckham Grove.",33.00,Brunswick Park Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,20/04/2005,TO BE CONFIRMED,Not known,6,18.18,1 Bed Flat
02-AP-2008,"191-199 SOUTHAMPTON WAY, LONDON, SE5 7EJ","Demolition of existing building. Erection of part 3, part  6 and part 7 storey building retail and office units on ground and part 1st floor with 33 flats above with parking facilities at rear-access from Peckham Grove.",33.00,Brunswick Park Ward (Camberwell),Camberwell,Principal Deed,S106 Agreement,20/04/2005,TO BE CONFIRMED,Not known,2,6.06,2 Bed Flat
02-AP-2012,"52-56 LANT STREET, LONDON, SE1 1QP","Demolition of existing buildings and construction of a seven-storey building comprising 67 residential flats, 654m2 of office floor space and 35 car parking spaces in the basement.",67.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,25/01/2005,TO BE CONFIRMED,Aff Rent,3,4.48,1 Bed Flat
02-AP-2012,"52-56 LANT STREET, LONDON, SE1 1QP","Demolition of existing buildings and construction of a seven-storey building comprising 67 residential flats, 654m2 of office floor space and 35 car parking spaces in the basement.",67.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,25/01/2005,TO BE CONFIRMED,Shared Own,2,2.99,1 Bed Flat
02-AP-2012,"52-56 LANT STREET, LONDON, SE1 1QP","Demolition of existing buildings and construction of a seven-storey building comprising 67 residential flats, 654m2 of office floor space and 35 car parking spaces in the basement.",67.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,25/01/2005,TO BE CONFIRMED,Aff Rent,3,4.48,2 Bed Flat
02-AP-2012,"52-56 LANT STREET, LONDON, SE1 1QP","Demolition of existing buildings and construction of a seven-storey building comprising 67 residential flats, 654m2 of office floor space and 35 car parking spaces in the basement.",67.00,Cathedrals Ward (BBW),"Borough, Bankside and Walworth",Principal Deed,S106 Agreement,25/01/2005,TO BE CONFIRMED,Shared Own,2,2.99,2 Bed Flat
